G o. </w>	Va </w> ! </w>
Can </w> I </w> ask </w> who ? </w>	Puis-je </w> demander </w> qui </w> ? </w>
Can </w> I </w> ask </w> why? </w>	Puis-je </w> demander </w> pourquoi </w> ? </w>
Can </w> I </w> come </w> in? </w>	Puis-je </w> entrer </w> ? </w>
Can </w> I </w> come </w> in? </w>	Puis-je </w> entrer </w> ? </w>
Can </w> I </w> come </w> in? </w>	Je </w> peux </w> entrer </w> ? </w>
Can </w> he </w> see </w> me? </w>	Est-il </w> en </w> mesure </w> de </w> me </w> voir </w> ? </w>
Can </w> he </w> see </w> me? </w>	Peut -il </w> me </w> voir </w> ? </w>
Can </w> he </w> see </w> us? </w>	Peut -il </w> nous </w> voir </w> ? </w>
Can </w> he </w> see </w> us? </w>	Est-il </w> en </w> mesure </w> de </w> nous </w> voir </w> ? </w>
Can </w> you </w> drive? </w>	Sais-tu </w> conduire </w> ? </w>
Can </w> you </w> pitch? </w>	Sais-tu </w> lancer </w> ? </w>
Can </w> you </w> pitch? </w>	Sais-tu </w> donner </w> le </w> ton </w> ? </w>
Can </w> you </w> pitch? </w>	Savez-vous </w> lancer </w> ? </w>
Can </w> you </w> pitch? </w>	Savez-vous </w> donner </w> le </w> ton </w> ? </w>
Can </w> you </w> sk ate? </w>	Sais-tu </w> patiner </w> ? </w>
Cats </w> are </w> cute. </w>	Les </w> chats </w> sont </w> mignons. </w>
Check , </w> please. </w>	Véri fi e, </w> s'il </w> te </w> plaît. </w>
Check , </w> please. </w>	L'addition, </w> s'il </w> vous </w> plait. </w>
Check , </w> please. </w>	J'aimerais </w> la </w> note, </w> je </w> vous </w> prie. </w>
Clean </w> that </w> up. </w>	Nettoyez </w> ça. </w>
Close </w> the </w> box. </w>	Ferme </w> la </w> boîte. </w>
Close </w> the </w> box. </w>	Fermez </w> la </w> boîte. </w>
Come </w> right </w> in. </w>	Entrez, </w> je </w> vous </w> prie. </w>
Cook </w> the </w> rice. </w>	Cuis ez </w> le </w> riz. </w>
Could </w> I </w> do </w> it? </w>	Pourrais-je </w> le </w> faire </w> ? </w>
Could </w> I </w> do </w> it? </w>	Ser ais-je </w> capable </w> de </w> le </w> faire </w> ? </w>
Could </w> I </w> do </w> it? </w>	Ser ais-je </w> en </w> mesure </w> de </w> le </w> faire </w> ? </w>
Could </w> we </w> walk? </w>	Pourrions-nous </w> marcher </w> ? </w>
Crime </w> is </w> down. </w>	La </w> criminal ité </w> est </w> en </w> baisse. </w>
Crime </w> is </w> down. </w>	C'est </w> la </w> criminal ité </w> qui </w> est </w> en </w> baisse. </w>
D ance </w> with </w> me. </w>	Dan se </w> avec </w> moi. </w>
D ance </w> with </w> me. </w>	Dan sez </w> avec </w> moi. </w>
Did </w> I </w> ask </w> you? </w>	Vous </w> l'ai-je </w> demandé </w> ? </w>
Did </w> I </w> ask </w> you? </w>	Te </w> l'ai-je </w> demandé </w> ? </w>
Did </w> I </w> blow </w> it? </w>	Est-ce </w> que </w> j'ai </w> vendu </w> la </w> mè che </w> ? </w>
Did </w> I </w> blow </w> it? </w>	Est-ce </w> que </w> je </w> l'ai </w> foiré </w> ? </w>
Did </w> I </w> do </w> that? </w>	Ai-je </w> fait </w> cela </w> ? </w>
Did </w> Tom </w> drow n? </w>	Tom </w> s'est-il </w> noyé </w> ? </w>
Did </w> Tom </w> fi ght? </w>	Tom </w> s'est-il </w> battu </w> ? </w>
Did </w> that </w> work? </w>	Ça </w> a </w> marché </w> ? </w>
Did </w> that </w> work? </w>	Est-ce </w> que </w> ça </w> a </w> marché </w> ? </w>
Did </w> that </w> work? </w>	Ça </w> a </w> fonctionné </w> ? </w>
Did </w> you </w> do </w> it? </w>	L'as-tu </w> fait </w> ? </w>
Did </w> you </w> do </w> it? </w>	L'avez-vous </w> fait </w> ? </w>
Do </w> I </w> know </w> Tom? </w>	Est-ce </w> que </w> je </w> connais </w> Tom </w> ? </w>
Do </w> I </w> know </w> him? </w>	Je </w> le </w> connais </w> ? </w>
Do </w> I </w> know </w> you? </w>	Est-ce </w> que </w> je </w> te </w> connais </w> ? </w>
Do </w> I </w> know </w> you? </w>	Est-ce </w> que </w> je </w> vous </w> connais </w> ? </w>
Do </w> I </w> look </w> fat? </w>	Ai-je </w> l'air </w> gros </w> ? </w>
Do </w> I </w> look </w> old ? </w>	Ai-je </w> l'air </w> vieux </w> ? </w>
Do </w> I </w> look </w> old ? </w>	Ai-je </w> l'air </w> vieille </w> ? </w>
Do </w> as </w> he </w> says. </w>	Fais </w> comme </w> il </w> dit. </w>
Do </w> as </w> he </w> says. </w>	Faites </w> comme </w> il </w> dit. </w>
Do </w> cats </w> dream? </w>	Les </w> chats </w> rê vent -ils </w> ? </w>
Do </w> fish </w> sleep? </w>	Les </w> poissons </w> dorment -ils </w> ? </w>
Do </w> it </w> at </w> once. </w>	Fais-le </w> immédiatement </w> ! </w>
Do </w> it </w> at </w> once. </w>	Faites-le </w> immédiatement. </w>
Do </w> it </w> quickly. </w>	Fais-le </w> vite </w> ! </w>
Do </w> it </w> quickly. </w>	Faites-le </w> vite </w> ! </w>
Do </w> me </w> a </w> favor. </w>	Fais-moi </w> une </w> faveur. </w>
Do </w> what </w> I </w> say. </w>	Fais </w> ce </w> que </w> je </w> dis. </w>
Do </w> what </w> I </w> say. </w>	Faites </w> ce </w> que </w> je </w> dis. </w>
Do </w> you </w> follow ? </w>	Est-ce </w> que </w> tu </w> suis </w> ? </w>
Do </w> you </w> follow ? </w>	Est-ce </w> que </w> vous </w> suivez </w> ? </w>
Do </w> you </w> gamble ? </w>	Est-ce </w> que </w> vous </w> jouez </w> ? </w>
Do </w> you </w> get </w> it? </w>	Tu </w> captes </w> ? </w>
Do </w> you </w> get </w> it? </w>	Vous </w> captez </w> ? </w>
Do </w> you </w> get </w> it? </w>	Tu </w> pig es </w> ? </w>
Do </w> you </w> get </w> it? </w>	Vous </w> pig ez </w> ? </w>
Do </w> you </w> get </w> it? </w>	P ig ez-vous </w> ? </w>
Do </w> you </w> get </w> it? </w>	Est-ce </w> que </w> vous </w> captez </w> ? </w>
Do </w> you </w> get </w> it? </w>	Est-ce </w> que </w> tu </w> captes </w> ? </w>
Do </w> you </w> see </w> me? </w>	Me </w> vois-tu </w> ? </w>
Do </w> you </w> see </w> me? </w>	Me </w> voyez-vous </w> ? </w>
Dogs </w> can </w> swim. </w>	Les </w> chiens </w> peuvent </w> nager. </w>
Dogs </w> can </w> swim. </w>	Les </w> chiens </w> savent </w> nager. </w>
Don't </w> be </w> late. </w>	Ne </w> sois </w> pas </w> en </w> retard. </w>
Don't </w> be </w> long. </w>	Ne </w> sois </w> pas </w> long. </w>
Don't </w> be </w> mean. </w>	Ne </w> sois </w> pas </w> mes quin </w> ! </w>
Don't </w> be </w> mean. </w>	Ne </w> sois </w> pas </w> mes quine </w> ! </w>
Don't </w> be </w> mean. </w>	Ne </w> soyez </w> pas </w> mes quin </w> ! </w>
Don't </w> be </w> mean. </w>	Ne </w> soyez </w> pas </w> mes quine </w> ! </w>
Don't </w> be </w> rude. </w>	Ne </w> sois </w> pas </w> impoli </w> ! </w>
Don't </w> be </w> rude. </w>	Ne </w> sois </w> pas </w> im polie </w> ! </w>
Don't </w> be </w> rude. </w>	Ne </w> soyez </w> pas </w> impoli </w> ! </w>
Don't </w> be </w> rude. </w>	Ne </w> soyez </w> pas </w> im polie </w> ! </w>
Don't </w> call </w> me. </w>	Ne </w> m'appelle </w> pas. </w>
Don't </w> deny </w> it. </w>	Ne </w> le </w> nie </w> pas </w> ! </w>
Don't </w> deny </w> it. </w>	Ne </w> le </w> niez </w> pas </w> ! </w>
Don't </w> desp air. </w>	Ne </w> désespé rez </w> pas </w> ! </w>
Don't </w> desp air. </w>	Ne </w> désespère </w> pas </w> ! </w>
Don't </w> do </w> that. </w>	Ne </w> fais </w> pas </w> cela. </w>
Don't </w> do </w> that. </w>	Ne </w> fais </w> pas </w> ça. </w>
Don't </w> do </w> that. </w>	Ne </w> faites </w> pas </w> ça. </w>
Don't </w> do </w> this. </w>	Ne </w> fais </w> pas </w> ça </w> ! </w>
Don't </w> do </w> this. </w>	Ne </w> faites </w> pas </w> ça </w> ! </w>
Don't </w> get </w> fat. </w>	Ne </w> deviens </w> pas </w> gras. </w>
Don't </w> get </w> fat. </w>	Ne </w> gros sis </w> pas. </w>
Don't </w> give </w> up! </w>	N'abandonne </w> pas </w> ! </w>
Don't </w> give </w> up. </w>	N'abandonne </w> pas. </w>
Don't </w> give </w> up. </w>	N'abandonnez </w> pas. </w>
Don't </w> give </w> up. </w>	Ne </w> laisse </w> pas </w> tomber. </w>
Don't </w> give </w> up. </w>	Ne </w> laissez </w> pas </w> tomber. </w>
Don't </w> hurt </w> me. </w>	Ne </w> me </w> fais </w> pas </w> de </w> mal </w> ! </w>
Don't </w> kill </w> me. </w>	Ne </w> me </w> tue </w> pas </w> ! </w>
Don't </w> kill </w> me. </w>	Ne </w> me </w> tuez </w> pas </w> ! </w>
Don't </w> mo ck </w> me. </w>	Ne </w> te </w> moque </w> pas </w> de </w> moi. </w>
Don't </w> push </w> it. </w>	Ne </w> pousse </w> pas </w> le </w> bouchon </w> ! </w>
Don't </w> push </w> it. </w>	Ne </w> le </w> pousse </w> pas </w> ! </w>
Don't </w> push </w> it. </w>	Ne </w> poussez </w> pas </w> le </w> bouchon </w> ! </w>
Don't </w> push </w> it. </w>	P ousse </w> pas </w> le </w> bouchon </w> ! </w>
Don't </w> push </w> it. </w>	P ous sez </w> pas </w> le </w> bouchon </w> ! </w>
Don't </w> push </w> me! </w>	Ne </w> me </w> pousse </w> pas </w> ! </w>
Don't </w> push </w> me! </w>	Ne </w> me </w> poussez </w> pas </w> ! </w>
Don't </w> push </w> me. </w>	Ne </w> me </w> pousse </w> pas </w> ! </w>
Don't </w> push </w> me. </w>	Ne </w> me </w> poussez </w> pas </w> ! </w>
Don't </w> s ass </w> me. </w>	Ne </w> sois </w> pas </w> imper tin ent </w> à </w> mon </w> égard. </w>
Don't </w> tell </w> me. </w>	Ne </w> me </w> le </w> dis </w> pas. </w>
Don't </w> tell </w> me. </w>	M' en </w> parle </w> pas. </w>
Don't </w> wait </w> up. </w>	Ne </w> veille </w> pas. </w>
Don't </w> wait </w> up. </w>	Ne </w> veillez </w> pas. </w>
Draw </w> a </w> circle. </w>	Trace </w> un </w> cercle. </w>
Draw </w> a </w> circle. </w>	Trace </w> un </w> cercle </w> ! </w>
Draw </w> a </w> circle. </w>	Trace z </w> un </w> cercle </w> ! </w>
Drink </w> it </w> down. </w>	Bois -le </w> ! </w>
Drink </w> it </w> down. </w>	Buvez -le </w> ! </w>
Drop </w> your </w> gun ! </w>	Laisse </w> tomber </w> ton </w> arme </w> ! </w>
Drop </w> your </w> gun ! </w>	Laissez </w> tomber </w> votre </w> arme </w> ! </w>
Dry </w> your </w> eyes. </w>	S è che </w> tes </w> larmes. </w>
Dry </w> your </w> eyes. </w>	Essuie </w> tes </w> yeux. </w>
Eat </w> and </w> drink. </w>	Mangez </w> et </w> buvez . </w>
Eat </w> and </w> drink. </w>	Mange </w> et </w> bois. </w>
Eat </w> something. </w>	Mange </w> quelque </w> chose </w> ! </w>
Eat </w> something. </w>	Mangez </w> quelque </w> chose </w> ! </w>
Eat </w> your </w> pe as. </w>	Mange </w> tes </w> petits </w> po is. </w>
Eat </w> your </w> pe as. </w>	Mangez </w> vos </w> petits </w> po is. </w>
Even </w> Tom </w> lied. </w>	Même </w> Tom </w> a </w> menti. </w>
Everyone </w> dies. </w>	Tout </w> le </w> monde </w> meurt. </w>
Everyone </w> sang. </w>	Tout </w> le </w> monde </w> chant a. </w>
Everyone </w> wins. </w>	Tout </w> le </w> monde </w> y </w> gagne. </w>
Feed </w> the </w> bird ! </w>	Nourris </w> l'oiseau </w> ! </w>
Feed </w> the </w> bird. </w>	Nourris </w> l'oiseau </w> ! </w>
Feed </w> the </w> bird. </w>	Nourris sez </w> l'oiseau. </w>
Get </w> a </w> haircut. </w>	Va </w> te </w> faire </w> couper </w> les </w> cheveux </w> ! </w>
Get </w> back </w> here. </w>	Reviens </w> ici </w> ! </w>
Get </w> back </w> here. </w>	Revenez </w> ici </w> ! </w>
Get </w> off </w> of </w> me. </w>	Lâche -moi. </w>
Get </w> some </w> rest. </w>	Prenez </w> quelque </w> repos </w> ! </w>
Get </w> your </w> coat. </w>	Prends </w> ton </w> manteau. </w>
Get </w> your </w> gear. </w>	Va </w> chercher </w> ton </w> matériel </w> ! </w>
Get </w> your </w> gear. </w>	Allez </w> chercher </w> votre </w> matériel </w> ! </w>
Get </w> your </w> gear. </w>	Va </w> chercher </w> ta </w> tenue </w> ! </w>
Get </w> your </w> gear. </w>	Allez </w> chercher </w> votre </w> tenue </w> ! </w>
Get </w> your </w> gear. </w>	Va </w> chercher </w> tes </w> affaires </w> ! </w>
Get </w> your </w> gear. </w>	Allez </w> chercher </w> vos </w> affaires </w> ! </w>
Give </w> him </w> time. </w>	Donne-lui </w> du </w> temps. </w>
Give </w> it </w> to </w> me! </w>	Donne -le-moi </w> ! </w>
Give </w> it </w> to </w> me. </w>	Donnez -le-moi. </w>
Give </w> it </w> to </w> me. </w>	Donne -le-moi. </w>
Give </w> it </w> to </w> me. </w>	Donne -la -moi. </w>
Give </w> it </w> to </w> me. </w>	Donnez -la -moi. </w>
Give </w> me </w> a </w> few. </w>	Donne-m'en </w> quelques- uns. </w>
Give </w> me </w> a </w> hug. </w>	Serre -moi </w> dans </w> tes </w> bras </w> ! </w>
Give </w> me </w> a </w> hug. </w>	Serre z-moi </w> dans </w> vos </w> bras </w> ! </w>
Give </w> me </w> a </w> sec. </w>	Donne-moi </w> une </w> seconde. </w>
Give </w> me </w> a </w> sec. </w>	Donnez-moi </w> une </w> seconde. </w>
God </w> bless </w> you! </w>	Que </w> Dieu </w> te </w> bénisse </w> ! </w>
God </w> bless </w> you! </w>	Dieu </w> vous </w> bénisse </w> ! </w>
God </w> bless </w> you! </w>	Dieu </w> te </w> bénisse </w> ! </w>
God </w> bless </w> you! </w>	Que </w> Dieu </w> vous </w> bénisse </w> ! </w>
God </w> knows </w> why. </w>	Dieu </w> sait </w> pourquoi. </w>
Guess </w> who </w> won. </w>	Devine </w> qui </w> a </w> gagné. </w>
Guess </w> who </w> won. </w>	Devinez </w> qui </w> a </w> gagné. </w>
Hand </w> it </w> to </w> me. </w>	Passe -le-moi. </w>
Hang </w> on </w> tight ! </w>	Accroche-toi </w> bien </w> ! </w>
Hang </w> on </w> tight ! </w>	Accrochez-vous </w> bien </w> ! </w>
Hang </w> on </w> tight. </w>	Accroche-toi </w> bien </w> ! </w>
Hang </w> on </w> tight. </w>	Accrochez-vous </w> bien </w> ! </w>
Have </w> a </w> cookie. </w>	Prends </w> un </w> biscuit </w> ! </w>
Have </w> him </w> come. </w>	Fais-le </w> venir. </w>
Have </w> some </w> h am. </w>	Prends </w> du </w> jam bon. </w>
Have </w> some </w> h am. </w>	Prenez </w> du </w> jam bon. </w>
He </w> broke </w> them. </w>	Il </w> les </w> a </w> cassé s. </w>
He </w> broke </w> them. </w>	Il </w> les </w> a </w> cassées. </w>
He </w> can't </w> sing. </w>	Il </w> est </w> incapable </w> de </w> chanter. </w>
He </w> can't </w> sing. </w>	Il </w> ne </w> sait </w> pas </w> chanter. </w>
He </w> can't </w> swim. </w>	Il </w> ne </w> sait </w> pas </w> nager. </w>
He </w> cheated </w> me. </w>	Il </w> m'a </w> trompé. </w>
He </w> cracked </w> up. </w>	Il </w> a </w> pété </w> les </w> plom bs. </w>
He </w> cracked </w> up. </w>	Il </w> a </w> dis j on cté. </w>
He </w> drank </w> beer. </w>	Il </w> but </w> de </w> la </w> bière. </w>
He </w> drank </w> beer. </w>	Il </w> a </w> bu </w> de </w> la </w> bière. </w>
He </w> dropped </w> it. </w>	Il </w> laissa </w> tomber. </w>
He </w> dug </w> a </w> hole. </w>	Il </w> a </w> creus é </w> un </w> trou. </w>
He </w> eats </w> a </w> lot. </w>	Il </w> mange </w> beaucoup. </w>
He </w> feels </w> hurt. </w>	Il </w> se </w> sent </w> blessé. </w>
He </w> fooled </w> her. </w>	Il </w> la </w> du pa. </w>
He </w> got </w> caught. </w>	Il </w> se </w> fit </w> prendre. </w>
He </w> got </w> caught. </w>	Il </w> s'est </w> fait </w> prendre. </w>
He </w> has </w> a </w> book. </w>	Il </w> a </w> un </w> livre. </w>
He </w> has </w> a </w> book. </w>	Il </w> dispose </w> d'un </w> livre. </w>
He </w> has </w> a </w> cold. </w>	Il </w> a </w> attrapé </w> froid. </w>
He </w> has </w> a </w> maid. </w>	Il </w> a </w> une </w> femme </w> de </w> ménage. </w>
He </w> has </w> a </w> maid. </w>	Il </w> a </w> une </w> servante. </w>
He </w> has </w> br aces. </w>	Il </w> porte </w> des </w> bag ues </w> dent aires. </w>
He </w> has </w> br aces. </w>	Il </w> porte </w> des </w> bre tell es. </w>
He </w> hugged </w> her. </w>	Il </w> l'en la ça. </w>
He </w> hugged </w> her. </w>	Il </w> l'a </w> enla cée. </w>
He </w> ignored </w> me. </w>	Il </w> m'a </w> ignoré. </w>
He </w> ignored </w> me. </w>	Il </w> m' ignor a. </w>
He </w> ignored </w> me. </w>	Il </w> m'a </w> ignor ée. </w>
He </w> is </w> Brit ish. </w>	Il </w> est </w> Brit an ni que. </w>
He </w> is </w> English. </w>	Il </w> est </w> Anglais. </w>
He </w> is </w> a </w> thief. </w>	C'est </w> un </w> voleur. </w>
He </w> is </w> awesome. </w>	Il </w> est </w> génial. </w>
He </w> is </w> foolish. </w>	Il </w> est </w> idiot. </w>
He </w> is </w> my </w> boss. </w>	C'est </w> mon </w> patron. </w>
He </w> is </w> my </w> type ! </w>	Il </w> est </w> mon </w> genre </w> ! </w>
He </w> is </w> no </w> fool. </w>	Il </w> n'est </w> pas </w> idiot. </w>
He </w> is </w> no </w> fool. </w>	Il </w> n'est </w> pas </w> fou. </w>
He </w> is </w> out </w> now. </w>	Il </w> est </w> actuellement </w> sorti. </w>
He </w> is </w> reading. </w>	Il </w> lit. </w>
He </w> is </w> reading. </w>	Il </w> est </w> en </w> train </w> de </w> lire. </w>
He </w> is </w> running. </w>	Il </w> court. </w>
He </w> is </w> skating. </w>	Il </w> fait </w> du </w> pat in. </w>
He </w> is </w> skating. </w>	Il </w> pat ine. </w>
He </w> is </w> too </w> old. </w>	Il </w> est </w> trop </w> vieux. </w>
He </w> killed </w> him. </w>	Il </w> le </w> tu a. </w>
He </w> killed </w> him. </w>	Il </w> l'a </w> tué. </w>
He </w> left </w> early. </w>	Il </w> est </w> parti </w> tôt. </w>
He </w> left </w> early. </w>	Il </w> partit </w> tôt. </w>
He </w> lied </w> to </w> me. </w>	Il </w> m'a </w> menti. </w>
He </w> lied </w> to </w> me. </w>	Il </w> me </w> ment it. </w>
He </w> liked </w> that. </w>	Il </w> ai ma </w> cela. </w>
He </w> liked </w> that. </w>	Il </w> appréci a </w> cela. </w>
He </w> liked </w> that. </w>	Il </w> a </w> aimé </w> ça. </w>
He </w> liked </w> that. </w>	Il </w> a </w> apprécié </w> cela. </w>
He </w> liked </w> that. </w>	Il </w> l'a </w> apprécié. </w>
He </w> looks </w> pale. </w>	Il </w> a </w> l'air </w> pâle. </w>
He </w> looks </w> well. </w>	Il </w> a </w> l'air </w> en </w> bonne </w> santé. </w>
He </w> loves </w> toys. </w>	Il </w> adore </w> les </w> jouets. </w>
He </w> made </w> me </w> go. </w>	Il </w> m'a </w> fait </w> partir. </w>
He </w> never </w> lies. </w>	Il </w> ne </w> ment </w> jamais. </w>
He </w> pinched </w> me! </w>	Il </w> m'a </w> pin cé </w> ! </w>
He </w> pinched </w> me! </w>	Il </w> m'a </w> pin cée </w> ! </w>
He </w> seems </w> kind. </w>	Il </w> a </w> l'air </w> gentil. </w>
He </w> sells </w> cars. </w>	Il </w> vend </w> des </w> voitures. </w>
He </w> shot </w> at </w> me. </w>	Il </w> me </w> tira </w> dessus. </w>
He </w> smells </w> bad. </w>	Il </w> pue. </w>
He </w> talks </w> well. </w>	Il </w> parle </w> bien. </w>
He </w> touched </w> me. </w>	Il </w> m'a </w> touché. </w>
He </w> touched </w> me. </w>	Il </w> m'a </w> ému. </w>
He </w> touched </w> me. </w>	Il </w> m'a </w> ému e. </w>
He </w> touched </w> me. </w>	Il </w> m'a </w> touch ée. </w>
He </w> tricked </w> me. </w>	Il </w> m'a </w> flou é. </w>
He </w> tricked </w> me. </w>	Il </w> m'a </w> flou ée. </w>
He </w> tricked </w> me. </w>	Il </w> m'a </w> arna qué. </w>
He </w> tricked </w> me. </w>	Il </w> m'a </w> arna quée. </w>
He </w> tricked </w> me. </w>	Il </w> m'a </w> eu. </w>
He </w> tricked </w> me. </w>	Il </w> m'a </w> eue. </w>
He </w> tries </w> hard. </w>	Il </w> s'ef force. </w>
He </w> walks </w> fast. </w>	Il </w> marche </w> vite. </w>
He </w> walks </w> fast. </w>	Il </w> marche </w> rapidement. </w>
He </w> wants </w> more. </w>	Il </w> en </w> veut </w> davantage. </w>
He </w> was </w> crying. </w>	Il </w> pleurait. </w>
He </w> was </w> stoned. </w>	Il </w> fut </w> la pi dé. </w>
He </w> was </w> stoned. </w>	Il </w> a </w> été </w> la pi dé. </w>
He </w> went </w> blind. </w>	Il </w> est </w> devenu </w> aveugle. </w>
He's </w> a </w> grou ch. </w>	C'est </w> un </w> r ous pé teur. </w>
He's </w> a </w> j es uit. </w>	Il </w> est </w> j é suite. </w>
He's </w> a </w> sen ior. </w>	C'est </w> un </w> aîné. </w>
He's </w> a </w> sen ior. </w>	C'est </w> un </w> ancien. </w>
He's </w> a </w> sen ior. </w>	C'est </w> un </w> retrait é. </w>
He's </w> a </w> ty co on. </w>	C'est </w> un </w> magn at. </w>
He's </w> addicted. </w>	Il </w> est </w> accro . </w>
He's </w> addicted. </w>	Il </w> a </w> une </w> assu étude. </w>
He's </w> addicted. </w>	Il </w> est </w> drogué. </w>
He's </w> adorable. </w>	Il </w> est </w> adorable. </w>
He's </w> after </w> me. </w>	Il </w> est </w> derrière </w> moi. </w>
He's </w> after </w> me. </w>	Il </w> est </w> après </w> moi. </w>
He's </w> after </w> me. </w>	Il </w> est </w> après </w> mes </w> f esses. </w>
He's </w> after </w> me. </w>	Il </w> me </w> pour suit. </w>
He's </w> annoying. </w>	Il </w> est </w> embêtant. </w>
He's </w> demented. </w>	Il </w> est </w> fou. </w>
He's </w> in </w> Tokyo. </w>	Il </w> est </w> à </w> Tokyo. </w>
He's </w> innocent. </w>	Il </w> est </w> innocent. </w>
He's </w> innocent. </w>	Il </w> est </w> ingé nu. </w>
He's </w> insecure. </w>	Il </w> est </w> peu </w> sûr </w> de </w> lui. </w>
He's </w> insecure. </w>	Il </w> manque </w> de </w> confiance </w> en </w> lui. </w>
He's </w> no </w> saint. </w>	Il </w> n'est </w> pas </w> un </w> saint. </w>
He's </w> no </w> saint. </w>	Ce </w> n'est </w> pas </w> un </w> saint. </w>
He's </w> not </w> home. </w>	Il </w> n'est </w> pas </w> à </w> la </w> maison. </w>
He's </w> not </w> sick. </w>	Il </w> n'est </w> pas </w> malade. </w>
He's </w> outraged. </w>	Il </w> est </w> indig né. </w>
He's </w> ruthless. </w>	Il </w> est </w> impitoyable. </w>
He's </w> ruthless. </w>	Il </w> est </w> sans </w> pitié. </w>
He's </w> so </w> young. </w>	Il </w> est </w> si </w> jeune. </w>
He's </w> so </w> young. </w>	Il </w> est </w> tellement </w> jeune. </w>
He's </w> studying. </w>	Il </w> étudie. </w>
He's </w> studying. </w>	Il </w> est </w> en </w> train </w> d'étudier. </w>
He's </w> too </w> busy. </w>	Il </w> est </w> trop </w> occupé. </w>
He's </w> too </w> slow. </w>	Il </w> est </w> trop </w> lent. </w>
He's </w> very </w> ill. </w>	Il </w> est </w> très </w> malade. </w>
He's </w> very </w> ill. </w>	Il </w> est </w> fort </w> malade. </w>
He's </w> your </w> son. </w>	Il </w> est </w> ton </w> fils. </w>
He's </w> your </w> son. </w>	C'est </w> ton </w> fils. </w>
He's </w> your </w> son. </w>	C'est </w> votre </w> fils. </w>
He's </w> your </w> son. </w>	Il </w> est </w> votre </w> fils. </w>
Help </w> yourself. </w>	Servez-vous . </w>
Help </w> yourself. </w>	Sers -toi. </w>
Here </w> he </w> comes. </w>	Le </w> voilà. </w>
Here </w> he </w> comes. </w>	Le </w> voici </w> qui </w> vient. </w>
Here </w> he </w> comes. </w>	Le </w> voici. </w>
Here </w> or </w> to </w> go? </w>	Sur </w> place </w> ou </w> à </w> emporter </w> ? </w>
His </w> nose </w> ble d. </w>	Il </w> saig nait </w> du </w> nez. </w>
His </w> nose </w> ble d. </w>	Il </w> avait </w> le </w> nez </w> qui </w> saig nait. </w>
Hold </w> the </w> door. </w>	Retiens </w> la </w> porte </w> ! </w>
Hold </w> the </w> door. </w>	Ret enez </w> la </w> porte </w> ! </w>
Hold </w> the </w> rope. </w>	Tenez </w> la </w> corde. </w>
How </w> about </w> you? </w>	Et </w> vous </w> ? </w>
How </w> beautiful ! </w>	Comme </w> c'est </w> beau </w> ! </w>
How </w> big </w> is </w> he? </w>	Il </w> est </w> grand </w> comment </w> ? </w>
How </w> big </w> is </w> it? </w>	C'est </w> grand </w> comment </w> ? </w>
How </w> can </w> I </w> pay? </w>	Comment </w> puis-je </w> pay er? </w>
How </w> can </w> it </w> be? </w>	Comment </w> se </w> peut-il </w> ? </w>
How </w> can </w> it </w> be? </w>	Comment </w> cela </w> se </w> peut-il </w> ? </w>
How </w> do </w> I </w> look? </w>	De </w> quoi </w> ai-je </w> l'air </w> ? </w>
How </w> old </w> is </w> he? </w>	Quel </w> âge </w> a-t-il </w> ? </w>
How </w> thri ll ing! </w>	Comme </w> c'est </w> excitant </w> ! </w>
How </w> thri ll ing! </w>	Comme </w> c'est </w> pal pit ant </w> ! </w>
How </w> was </w> class? </w>	Comment </w> était </w> l'école </w> ? </w>
How's </w> the </w> dog? </w>	Comment </w> va </w> le </w> chien </w> ? </w>
I </w> already </w> ate. </w>	J'ai </w> déjà </w> mangé. </w>
I </w> always </w> lose. </w>	Je </w> perds </w> toujours. </w>
I </w> always </w> walk. </w>	Je </w> vais </w> toujours </w> à </w> pied. </w>
I </w> always </w> walk. </w>	Je </w> marche </w> toujours. </w>
I </w> am </w> American. </w>	Je </w> suis </w> américain. </w>
I </w> am </w> American. </w>	Je </w> suis </w> américaine. </w>
I </w> am </w> Japanese. </w>	Je </w> suis </w> Japonais. </w>
I </w> am </w> a </w> Muslim. </w>	Je </w> suis </w> musul man. </w>
I </w> am </w> a </w> Muslim. </w>	Je </w> suis </w> musul man e. </w>
I </w> am </w> a </w> Muslim. </w>	Je </w> suis </w> M usu l man. </w>
I </w> am </w> a </w> runner. </w>	Je </w> suis </w> un </w> cou reur. </w>
I </w> am </w> all </w> ears. </w>	Je </w> suis </w> tout </w> ouïe. </w>
I </w> am </w> diabetic. </w>	Je </w> suis </w> diabétique. </w>
I </w> am </w> divorced. </w>	Je </w> suis </w> divorcé. </w>
I </w> am </w> divorced. </w>	Je </w> suis </w> divor cée. </w>
I </w> am </w> in </w> Paris. </w>	Je </w> suis </w> à </w> Paris. </w>
I </w> am </w> new </w> here. </w>	Je </w> suis </w> nouveau </w> ici. </w>
I </w> am </w> new </w> here. </w>	Je </w> suis </w> nouveau, </w> ici. </w>
I </w> am </w> not </w> deaf. </w>	Je </w> ne </w> suis </w> pas </w> sourd. </w>
I </w> am </w> so </w> sorry. </w>	Je </w> suis </w> tellement </w> désolé </w> ! </w>
I </w> am </w> so </w> sorry. </w>	Je </w> suis </w> tellement </w> désolée </w> ! </w>
I </w> am </w> very </w> sad. </w>	Je </w> suis </w> très </w> triste. </w>
